Model,accuracy,balanced_accuracy,f1_macro,f1_weighted,cohen_kappa,mcc,log_loss
Single-RGB (4.1.1),0.5372208436724566,0.595716683264406,0.507656074968507,0.5786216513457537,0.40885620465226025,0.4427123987049081,1.15749497024503
Baseline (4.1.2),0.6861042183622829,0.6770060103624094,0.6320121467531294,0.7082498079306468,0.570470166214847,0.5843554508260127,0.8270020373085715
SE-ResNet (4.2),0.6960297766749379,0.6843935874234733,0.6398780414975671,0.7168163948124914,0.5826632034778418,0.5956160415395658,0.8081961815885665
Add-Fusion (4.3.1),0.6947890818858561,0.7207385178709894,0.6726314638052385,0.7179723132888169,0.5848744527656402,0.601841931781592,0.8216712131691355
Mul-Fusion (4.3.2),0.8039702233250621,0.7428704295436215,0.743133890097189,0.8069923497085547,0.7157804053903254,0.7169300719504865,0.6744624765598043
BiCrossAttn (4.3.3),0.7382133995037221,0.7026656525819038,0.6753581473524085,0.7477499367104231,0.6293517917155225,0.6325014971338774,0.7479609622027398
Combined (4.4),0.7220843672456576,0.6967639755050523,0.6573490368180747,0.7388567396757133,0.6154170589663737,0.6245463340752335,0.8103645561911751
