Model,dataset,accuracy,balanced_accuracy,f1_macro,f1_weighted,cohen_kappa,mcc,log_loss
Single-RGB,milk10k,0.4870229007633588,0.5550060365799916,0.4515673172724811,0.5272537362801487,0.33273503444261177,0.38034921382682463,1.2291014375925053
Dual-Branch Concat,milk10k,0.5694656488549619,0.590167479533007,0.5039590291494817,0.6008510484381557,0.42073208976755283,0.46332625827839297,1.1734579373841094
SE-ResNet (concat),milk10k,0.6305343511450382,0.5911331141585519,0.5152890622383366,0.6542576027551594,0.46973143675315465,0.4917764930994732,0.9970160472882755
Add-Fusion,milk10k,0.7251908396946565,0.6863508462303598,0.620302426828687,0.7438045616175025,0.5832110776061681,0.5917097005713073,0.8501988265091114
Mul-Fusion,milk10k,0.650381679389313,0.64405133336471,0.5751544447555057,0.6745809002305179,0.5012867231450573,0.5269359364164693,0.9985494709478308
BiCrossAttn,milk10k,0.6122137404580152,0.6261967838859996,0.563680183337499,0.6523043895443017,0.45636581675832344,0.49153667011480245,1.113823515795393
Full Model (SE+CrossAttn),milk10k,0.650381679389313,0.6477018419115843,0.5621650353716878,0.6760332006056398,0.49483536135631123,0.5140783003795601,0.9535193692214942
