Model,dataset,accuracy,balanced_accuracy,f1_macro,f1_weighted,cohen_kappa,mcc,log_loss
Single-RGB,derm7pt,0.375,0.4162475153400743,0.3139334382491641,0.40667786546957,0.17315620705451207,0.19297215400705134,1.364512984241279
Dual-Branch Concat,derm7pt,0.7302631578947368,0.6698902428485005,0.6378021978021978,0.7381096973202237,0.578177880059564,0.590121327611051,0.9316866511162677
SE-ResNet (concat),derm7pt,0.5460526315789473,0.5317258663901133,0.4372008055972712,0.579591406834062,0.3679643244546221,0.393695832510415,1.3778029281344446
Add-Fusion,derm7pt,0.6973684210526315,0.6107423731743151,0.5771608362120696,0.7141396526396026,0.5338045072676357,0.5442322183059268,0.8499333687231572
Mul-Fusion,derm7pt,0.6052631578947368,0.564143116411719,0.50497150997151,0.6238557130004497,0.4314214463840398,0.46681722230286704,1.2241378320813323
BiCrossAttn,derm7pt,0.6710526315789473,0.6353815573416299,0.5720970232238142,0.6859528018512694,0.49818421921426215,0.5099736906004153,1.0150975889852678
Full Model (SE+CrossAttn),derm7pt,0.6644736842105263,0.6427361507216316,0.5567972621347235,0.6925094204644474,0.49564085881587505,0.508781554875385,1.0934875547642504
