Model,accuracy,balanced_accuracy,f1_macro,f1_weighted,cohen_kappa,mcc,log_loss
Baseline,0.6861042183622829,0.6770060103624094,0.6320121467531294,0.7082498079306468,0.570470166214847,0.5843554508260127,0.8270020373085715
BiCrossAttn,0.7382133995037221,0.7026656525819038,0.6753581473524085,0.7477499367104231,0.6293517917155225,0.6325014971338774,0.7479609622027398
SE-ResNet,0.6960297766749379,0.6843935874234733,0.6398780414975671,0.7168163948124914,0.5826632034778418,0.5956160415395658,0.8081961815885665
Combined,0.7220843672456576,0.6967639755050523,0.6573490368180747,0.7388567396757133,0.6154170589663737,0.6245463340752335,0.8103645561911751
